actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: dead man's chest,Johnny DeppOrlando BloomJack DavenportGore VerbinskiAction|Adventure|Fantasy
Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action|Adventure|Western,the lone ranger,Johnny DeppRuth WilsonTom WilkinsonGore VerbinskiAction|Adventure|Western
Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,man of steel,Henry CavillChristopher MeloniHarry LennixZack SnyderAction|Adventure|Fantasy|Sci-Fi
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,the chronicles of narnia: prince caspian,Peter DinklagePierfrancesco FavinoDamián AlcázarAndrew AdamsonAction|Adventure|Family|Fantasy
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,the avengers,Chris HemsworthRobert Downey Jr.Scarlett JohanssonJoss WhedonAction|Adventure|Sci-Fi
Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,pirates of the caribbean: on stranger tides,Johnny DeppSam ClaflinStephen GrahamRob MarshallAction|Adventure|Fantasy
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black 3,Will SmithMichael StuhlbargNicole ScherzingerBarry SonnenfeldAction|Adventure|Comedy|Family|Fantasy|Sci-Fi
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the battle of the five armies,Aidan TurnerAdam BrownJames NesbittPeter JacksonAdventure|Fantasy
Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,the amazing spider-man,Emma StoneAndrew GarfieldChris ZylkaMarc WebbAction|Adventure|Fantasy
Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,robin hood,Mark AddyWilliam HurtScott GrimesRidley ScottAction|Adventure|Drama|History
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the desolation of smaug,Aidan TurnerAdam BrownJames NesbittPeter JacksonAdventure|Fantasy
Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,the golden compass,Christopher LeeEva GreenKristin Scott ThomasChris WeitzAdventure|Family|Fantasy
Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,king kong,Naomi WattsThomas KretschmannEvan ParkePeter JacksonAction|Adventure|Drama|Romance
Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama|Romance,titanic,Leonardo DiCaprioKate WinsletGloria StuartJames CameronDrama|Romance
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,captain america: civil war,Robert Downey Jr.Scarlett JohanssonChris EvansAnthony RussoAction|Adventure|Sci-Fi
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,battleship,Liam NeesonAlexander SkarsgårdTadanobu AsanoPeter BergAction|Adventure|Sci-Fi|Thriller
Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,jurassic world,Bryce Dallas HowardJudy GreerOmar SyColin TrevorrowAction|Adventure|Sci-Fi|Thriller
Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,skyfall,Albert FinneyHelen McCroryRory KinnearSam MendesAction|Adventure|Thriller
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,spider-man 2,J.K. SimmonsJames FrancoKirsten DunstSam RaimiAction|Adventure|Fantasy|Romance
Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,iron man 3,Robert Downey Jr.Jon FavreauDon CheadleShane BlackAction|Adventure|Sci-Fi
Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,alice in wonderland,Johnny DeppAlan RickmanAnne HathawayTim BurtonAdventure|Family|Fantasy
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last stand,Hugh JackmanKelsey GrammerDaniel CudmoreBrett RatnerAction|Adventure|Fantasy|Sci-Fi|Thriller
Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,monsters university,Steve BuscemiTyler LabineSean HayesDan ScanlonAdventure|Animation|Comedy|Family|Fantasy
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,transformers: revenge of the fallen,Glenn MorshowerKevin DunnRamon RodriguezMichael BayAction|Adventure|Sci-Fi
Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,transformers: age of extinction,Bingbing LiSophia MylesKelsey GrammerMichael BayAction|Adventure|Sci-Fi
Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,oz the great and powerful,Tim HolmesMila KunisJames FrancoSam RaimiAdventure|Family|Fantasy
Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man 2,Emma StoneAndrew GarfieldB.J. NovakMarc WebbAction|Adventure|Fantasy|Sci-Fi
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,tron: legacy,Jeff BridgesOlivia WildeJames FrainJoseph KosinskiAction|Adventure|Sci-Fi
Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,cars 2,Joe MantegnaThomas KretschmannEddie IzzardJohn LasseterAdventure|Animation|Comedy|Family|Sport
Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,green lantern,Ryan ReynoldsTemuera MorrisonTaika WaititiMartin CampbellAction|Adventure|Sci-Fi
Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,toy story 3,Tom HanksJohn RatzenbergerDon RicklesLee UnkrichAdventure|Animation|Comedy|Family|Fantasy
Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,terminator salvation,Christian BaleBryce Dallas HowardCommonMcGAction|Adventure|Sci-Fi
Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,furious 7,Jason StathamPaul WalkerVin DieselJames WanAction|Crime|Thriller
Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,world war z,Peter CapaldiBrad PittMireille EnosMarc ForsterAction|Adventure|Horror|Sci-Fi|Thriller
Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future past,Jennifer LawrencePeter DinklageHugh JackmanBryan SingerAction|Adventure|Fantasy|Sci-Fi|Thriller
Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,star trek into darkness,Benedict CumberbatchBruce GreenwoodNoel ClarkeJ.J. AbramsAction|Adventure|Sci-Fi
Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,jack the giant slayer,Eddie MarsanEwen BremnerRalph BrownBryan SingerAdventure|Fantasy
Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,the great gatsby,Leonardo DiCaprioElizabeth DebickiSteve BisleyBaz LuhrmannDrama|Romance
Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,prince of persia: the sands of time,Jake GyllenhaalRichard CoyleReece RitchieMike NewellAction|Adventure|Fantasy|Romance
Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,pacific rim,Charlie HunnamClifton Collins Jr.Larry Joe CampbellGuillermo del ToroAction|Adventure|Sci-Fi
Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers: dark of the moon,Glenn MorshowerLester SpeightKevin DunnMichael BayAction|Adventure|Sci-Fi
Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal skull,Harrison FordRay WinstoneJim BroadbentSteven SpielbergAction|Adventure|Fantasy
A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,the good dinosaur,A.J. BuckleyJack McGrawPeter SohnPeter SohnAdventure|Animation|Comedy|Family|Fantasy
Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,brave,Kelly MacdonaldJohn RatzenbergerJulie WaltersMark AndrewsAdventure|Animation|Comedy|Family|Fantasy
Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,star trek beyond,Sofia BoutellaMelissa RoxburghLydia WilsonJustin LinAction|Adventure|Sci-Fi|Thriller
John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,wall·e,John RatzenbergerFred WillardJeff GarlinAndrew StantonAdventure|Animation|Family|Sci-Fi
Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,rush hour 3,Tzi MaDana IveyNoémie LenoirBrett RatnerAction|Comedy|Crime|Thriller
Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,2012,Oliver PlattLiam JamesTom McCarthyRoland EmmerichAction|Adventure|Sci-Fi
Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,a christmas carol,Robin WrightColin FirthGary OldmanRobert ZemeckisAnimation|Drama|Family|Fantasy
Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,jupiter ascending,Channing TatumMila KunisEddie RedmayneLana WachowskiAction|Adventure|Sci-Fi
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,the legend of tarzan,Christoph WaltzAlexander SkarsgårdCasper CrumpDavid YatesAction|Adventure|Drama|Romance
Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim BroadbentKiran ShahShane RangiAndrew AdamsonAdventure|Family|Fantasy
Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,x-men: apocalypse,Jennifer LawrenceMichael FassbenderTye SheridanBryan SingerAction|Adventure|Sci-Fi
Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,the dark knight,Christian BaleHeath LedgerMorgan FreemanChristopher NolanAction|Crime|Drama|Thriller
John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,up,John RatzenbergerDelroy LindoJess HarnellPete DocterAdventure|Animation|Comedy|Family
Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. aliens,Amy PoehlerRainn WilsonStephen ColbertRob LettermanAction|Adventure|Animation|Comedy|Family|Sci-Fi
Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man,Robert Downey Jr.Jeff BridgesJon FavreauJon FavreauAction|Adventure|Sci-Fi
Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,hugo,Chloë Grace MoretzChristopher LeeRay WinstoneMartin ScorseseAdventure|Drama|Family|Mystery
Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,wild wild west,Will SmithSalma HayekBai LingBarry SonnenfeldAction|Comedy|Sci-Fi|Western
Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emperor,Jet LiBrendan FraserRussell WongRob CohenAction|Adventure|Fantasy|Horror|Thriller
Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,suicide squad,Will SmithRobin Atkin DownesIke BarinholtzDavid AyerAction|Adventure|Comedy|Sci-Fi
Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,evan almighty,Jimmy BennettMorgan FreemanSteve CarellTom ShadyacComedy|Family|Fantasy
Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,edge of tomorrow,Tom CruiseLara PulverNoah TaylorDoug LimanAction|Adventure|Sci-Fi
Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,waterworld,Jeanne TripplehornRick AvilesZakes MokaeKevin ReynoldsAction|Adventure|Sci-Fi|Thriller
Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,g.i. joe: the rise of cobra,Joseph Gordon-LevittDennis QuaidLeo HowardStephen SommersAction|Adventure|Sci-Fi|Thriller
Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,inside out,Amy PoehlerMindy KalingPhyllis SmithPete DocterAdventure|Animation|Comedy|Drama|Family|Fantasy
Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,the jungle book,Scarlett JohanssonBill MurrayGarry ShandlingJon FavreauAdventure|Drama|Family|Fantasy
Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man 2,Robert Downey Jr.Scarlett JohanssonJon FavreauJon FavreauAction|Adventure|Sci-Fi
Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,snow white and the huntsman,Chris HemsworthKristen StewartSam ClaflinRupert SandersAction|Adventure|Drama|Fantasy
Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,maleficent,Angelina Jolie PittSharlto CopleySam RileyRobert StrombergAction|Adventure|Family|Fantasy|Romance
Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,dawn of the planet of the apes,Gary OldmanJudy GreerKodi Smit-McPheeMatt ReevesAction|Adventure|Drama|Sci-Fi
Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,the lovers,Tamsin EgertonAlice EnglertBipasha BasuRoland JofféAction|Adventure|Romance|Sci-Fi
Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 ronin,Keanu ReevesCary-Hiroyuki TagawaJin AkanishiCarl RinschAction|Adventure|Drama|Fantasy
Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,captain america: the winter soldier,Scarlett JohanssonChris EvansHayley AtwellAnthony RussoAction|Adventure|Sci-Fi
Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,shrek forever after,Jon HammKathy GriffinMary Kay PlaceMike MitchellAdventure|Animation|Comedy|Family|Fantasy
Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,tomorrowland,Judy GreerChris BauerThomas RobinsonBrad BirdAction|Adventure|Family|Mystery|Sci-Fi
Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,big hero 6,Damon Wayans Jr.Daniel HenneyAbraham BenrubiDon HallAction|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,wreck-it ralph,Jack McBrayerSarah SilvermanJoe Lo TruglioRich MooreAdventure|Animation|Comedy|Family|Sci-Fi
Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,the polar express,Tom HanksEddie DeezenPeter ScolariRobert ZemeckisAdventure|Animation|Family|Fantasy
Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action|Adventure|Sci-Fi,independence day: resurgence,Vivica A. FoxSela WardJudd HirschRoland EmmerichAction|Adventure|Sci-Fi
Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure|Animation|Family|Fantasy,how to train your dragon,Gerard ButlerAmerica FerreraCraig FergusonDean DeBloisAdventure|Animation|Family|Fantasy
Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action|Sci-Fi,terminator 3: rise of the machines,Nick StahlM.C. GaineyCarolyn HennesyJonathan MostowAction|Sci-Fi
Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action|Adventure|Sci-Fi,guardians of the galaxy,Bradley CooperVin DieselDjimon HounsouJames GunnAction|Adventure|Sci-Fi
Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure|Drama|Sci-Fi,interstellar,Matthew McConaugheyAnne HathawayMackenzie FoyChristopher NolanAdventure|Drama|Sci-Fi
Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,inception,Leonardo DiCaprioTom HardyJoseph Gordon-LevittChristopher NolanAction|Adventure|Sci-Fi|Thriller
Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgence,Mark ChinneryShin'ya TsukamotoAtsuko MaedaHideaki AnnoAction|Adventure|Drama|Horror|Sci-Fi
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: an unexpected journey,Aidan TurnerAdam BrownJames NesbittPeter JacksonAdventure|Fantasy
Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,Action|Crime|Thriller,the fast and the furious,Paul WalkerVin DieselJordana BrewsterRob CohenAction|Crime|Thriller
Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama|Fantasy|Romance,the curious case of benjamin button,Brad PittJason FlemyngJulia OrmondDavid FincherDrama|Fantasy|Romance
Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action|Adventure|Sci-Fi,x-men: first class,Jennifer LawrenceMichael FassbenderOliver PlattMatthew VaughnAction|Adventure|Sci-Fi
Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi,the hunger games: mockingjay - part 2,Jennifer LawrencePhilip Seymour HoffmanJosh HutchersonFrancis LawrenceAdventure|Sci-Fi
Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action|Adventure|Family|Fantasy,the sorcerer's apprentice,Nicolas CageOmar Benson MillerRobert CapronJon TurteltaubAction|Adventure|Family|Fantasy
Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action|Adventure|Drama|Thriller,poseidon,Jimmy BennettMike VogelAndre BraugherWolfgang PetersenAction|Adventure|Drama|Thriller
Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure|Family|Fantasy,alice through the looking glass,Johnny DeppAlan RickmanAnne HathawayJames BobinAdventure|Family|Fantasy
Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,shrek the third,Justin TimberlakeEric IdleRupert EverettChris MillerAdventure|Animation|Comedy|Family|Fantasy
Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action|Adventure|Fantasy,warcraft,Dominic CooperCallum RennieRuth NeggaDuncan JonesAction|Adventure|Fantasy
J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action|Adventure|Sci-Fi,terminator genisys,J.K. SimmonsEmilia ClarkeMatt SmithAlan TaylorAction|Adventure|Sci-Fi
Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure|Family|Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce SpenceShane RangiLaura BrentMichael AptedAdventure|Family|Fantasy
Jennifer Garner,Jaime King,Mako,Michael Bay,Action|Drama|History|Romance|War,pearl harbor,Jennifer GarnerJaime KingMakoMichael BayAction|Drama|History|Romance|War
Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers,Zack WardMichael O'NeillKevin DunnMichael BayAction|Adventure|Sci-Fi
Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,alexander,Anthony HopkinsAngelina Jolie PittBrian BlessedOliver StoneAction|Adventure|Biography|Drama|History|Romance|War
Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the order of the phoenix,Robert PattinsonDaniel RadcliffeFiona ShawDavid YatesAdventure|Family|Fantasy|Mystery
Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure|Family|Fantasy|Mystery,harry potter and the goblet of fire,Robert PattinsonDaniel RadcliffeRupert GrintMike NewellAdventure|Family|Fantasy|Mystery
Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action|Drama,hancock,Will SmithCharlize TheronEddie MarsanPeter BergAction|Drama
Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama|Horror|Sci-Fi,i am legend,Will SmithAlice BragaWillow SmithFrancis LawrenceDrama|Horror|Sci-Fi
Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure|Comedy|Family|Fantasy,charlie and the chocolate factory,Johnny DeppChristopher LeeDavid KellyTim BurtonAdventure|Comedy|Family|Fantasy
Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation|Comedy|Family|Fantasy,ratatouille,Janeane GarofaloJohn RatzenbergerBrian DennehyBrad BirdAnimation|Comedy|Family|Fantasy
Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action|Adventure,batman begins,Christian BaleLiam NeesonMorgan FreemanChristopher NolanAction|Adventure
Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action|Adventure|Animation|Comedy|Family,madagascar: escape 2 africa,Bernie MacJada Pinkett SmithCedric the EntertainerEric DarnellAction|Adventure|Animation|Comedy|Family
Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,night at the museum: battle of the smithsonian,Robin WilliamsRami MalekSteve CooganShawn LevyAdventure|Comedy|Family|Fantasy
Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men origins: wolverine,Hugh JackmanRyan ReynoldsDominic MonaghanGavin HoodAction|Adventure|Fantasy|Sci-Fi|Thriller
Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action|Sci-Fi,the matrix revolutions,Essie DavisCollin ChouNona GayeLana WachowskiAction|Sci-Fi
Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,frozen,Josh GadMaurice LaMarcheLivvy StubenrauchChris BuckAdventure|Animation|Comedy|Family|Fantasy|Musical
Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action|Sci-Fi,the matrix reloaded,Steve BastoniDaniel BernhardtHelmut BakaitisLana WachowskiAction|Sci-Fi
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor,Action|Adventure|Fantasy,thor: the dark world,Chris HemsworthNatalie PortmanAnthony HopkinsAlan TaylorAction|Adventure|Fantasy
Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller,Action|Adventure|Sci-Fi|Thriller,mad max: fury road,Tom HardyCharlize TheronZoë KravitzGeorge MillerAction|Adventure|Sci-Fi|Thriller
Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Ron Howard,Mystery|Thriller,angels & demons,Tom HanksAyelet ZurerArmin Mueller-StahlRon HowardMystery|Thriller
Chris Hemsworth,Natalie Portman,Anthony Hopkins,Kenneth Branagh,Action|Adventure|Fantasy,thor,Chris HemsworthNatalie PortmanAnthony HopkinsKenneth BranaghAction|Adventure|Fantasy
